fiscal_year,agency_name,vendor_name,vendor_clean,vendor_zip,amount,fiscal_period,date,category
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,762007.99,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,59921.03,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,1297544.95,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2018,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,40416.44,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,976514.48,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,36113.2,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,533863.21,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,131446.96,1,2020 Jan 01 12:00:00 AM,Q00
2020,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,422878.03,1,2020 Jan 01 12:00:00 AM,R00
2021,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,8236.46,1,2021 Jan 01 12:00:00 AM,Q00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,520181.13,1,2021 Jan 01 12:00:00 AM,R00
2022,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,64766.46,1,2022 Jan 01 12:00:00 AM,Q00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,1220201.05,1,2022 Jan 01 12:00:00 AM,R00
2023,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,77237.4,1,2023 Jan 01 12:00:00 AM,Q00
2023,STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,833101.65,1,2023 Jan 01 12:00:00 AM,R00
2024,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,62852.27,1,2024 Jan 01 12:00:00 AM,Q00
2024,STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,1076745.88,1,2024 Jan 01 12:00:00 AM,R00
2025,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,101520.95,1,2025 Jan 01 12:00:00 AM,Q00
2025,STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,1038911.38,1,2025 Jan 01 12:00:00 AM,R00
2026,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,19616.42,1,2026 Jan 01 12:00:00 AM,Q00
2026,GOV OFFICE CRIME PREVENTION AND POLICY,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,29571.87,1,2026 Jan 01 12:00:00 AM,D21
2026,STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,496997.79,1,2026 Jan 01 12:00:00 AM,R00
2008,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,21201,72590.54,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,21201,756807.3,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,21201,68371.57,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,21227,732214.32,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,21201,70846.27,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,ARCHDIOCESE OF BALTIMORE DIV PERSONNEL SERVI,21201,887869.05,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2022,DEPARTMENT OF EMERGENCY MANAGEMENT,ARCHDIOCESE OF WASHINGTON,ARCHDIOCESE OF WASHINGTON,20782,280934.41,1,2022 Jan 01 12:00:00 AM,D52
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHDIOCESE OF WASHINGTON,ARCHDIOCESE OF WASHINGTON,20782,80372.57,1,2022 Jan 01 12:00:00 AM,R00
2011,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,79763.18,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21227,641060.13,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MILITARY DEPARTMENT,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,76312.35,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,74083.94,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21227,701044.51,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,MILITARY DEPARTMENT,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,75030,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,50851.24,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21227,745855.6,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2017,COMPTROLLER OF MARYLAND,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,306.18,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,53938.14,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MARYLAND STATE DEPARTMENT OF EDUCATION,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,1084457.48,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MILITARY DEPARTMENT,ARCHIDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,75000,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2021,DEPARTMENT OF COMMERCE,ARK CHURCH,ARK CHURCH,21202,10000,1,2021 Jan 01 12:00:00 AM,T00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ARK CHURCH,ARK CHURCH,21202,15000,1,2021 Jan 01 12:00:00 AM,S00
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,2958586.43,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,4944032.32,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,MARYLAND DEPT. OF AGING,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,600,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,15,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,4927679.03,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,DHMH-GENERAL ACCOUNTING,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,4937378.92,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,DHMH-GENERAL ACCOUNTING,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,5943909.56,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,DHMH-GENERAL ACCOUNTING,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,5561104.09,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND STATE DEPARTMENT OF EDUCATION,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,15,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2014,DHMH-GENERAL ACCOUNTING,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,6024732.18,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,DHMH-GENERAL ACCOUNTING,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,6626740.95,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,MARYLAND STATE DEPARTMENT OF EDUCATION,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,15,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2016,DHMH-GENERAL ACCOUNTING,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,7238138.18,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,15,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,"MARYLAND DEPARTMENT OF HEALTH, MDH",ASBURY METHODIST VILLAGE,ASBURY METHODIST VILLAGE,20877,6854246.61,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,24240,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,1263,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,34844,1,2020 Jan 01 12:00:00 AM,614
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,30771,1,2021 Jan 01 12:00:00 AM,614
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,32023,1,2022 Jan 01 12:00:00 AM,614
2023,DEPARTMENT OF HUMAN SERVICES,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21403,2000,1,2023 Jan 01 12:00:00 AM,N00
2023,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21401,24782,1,2023 Jan 01 12:00:00 AM,S00
2023,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,20040,1,2023 Jan 01 12:00:00 AM,614
2023,STATE DEPARTMENT OF EDUCATION,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,9150,1,2023 Jan 01 12:00:00 AM,R00
2025,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,21255.06,1,2025 Jan 01 12:00:00 AM,614
2025,STATE DEPARTMENT OF EDUCATION,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,10000,1,2025 Jan 01 12:00:00 AM,R00
2026,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ASBURY UNITED METHODIST CHURCH,ASBURY UNITED METHODIST CHURCH,21801,25609.74,1,2026 Jan 01 12:00:00 AM,614
2018,MARYLAND OFFICE OF PLANNING,ASBURY UNITED METHODIST CHURCH OF GEORGETOWN ROAD,ASBURY UNITED METHODIST CHURCH OF GEORGETOWN ROAD,21620,79310,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ASHTON UNITED METHODIST CHRISTIAN  PRESCHOOL,ASHTON UNITED METHODIST CHRISTIAN  PRESCHOOL,20861,41025,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ASHTON UNITED METHODIST CHRISTIAN  PRESCHOOL,ASHTON UNITED METHODIST CHRISTIAN  PRESCHOOL,20861,84470,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,ASHTON UNITED METHODIST CHRISTIAN  PRESCHOOL,ASHTON UNITED METHODIST CHRISTIAN  PRESCHOOL,20861,35324,1,2023 Jan 01 12:00:00 AM,R00
2025,DEPARTMENT OF HUMAN SERVICES,ASSISTANCE CENTER OF TOWSON CHURCHES,ASSISTANCE CENTER OF TOWSON CHURCHES,21204,37005,1,2025 Jan 01 12:00:00 AM,N00
2026,DEPARTMENT OF HUMAN SERVICES,ASSISTANCE CENTER OF TOWSON CHURCHES,ASSISTANCE CENTER OF TOWSON CHURCHES,21204,50000,1,2026 Jan 01 12:00:00 AM,N00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"ASSISTANCE CENTER OF TOWSON CHURCHES, INC.","ASSISTANCE CENTER OF TOWSON CHURCHES, INC.",21204,39060,1,2021 Jan 01 12:00:00 AM,S00
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,100471.74,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,145786.88,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,241163.97,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,838928.52,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,110053.74,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,134153.14,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,245967.97,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,468138.93,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,115294.74,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,181592.62,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,240558.97,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,463566.93,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,136626.42,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,177609.88,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,295240.24,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,543128.56,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,141067.08,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,236170.88,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,244875.89,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,440137.3,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,135535.08,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,194115.88,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,464282.59,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,610047.82,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,141358.08,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,178763.88,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,310382.24,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,489833.93,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,158012.82,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,144921.08,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,146423.08,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,113443.74,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,152741.08,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,153647.16,1,2020 Jan 01 12:00:00 AM,S00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,166578.09,1,2021 Jan 01 12:00:00 AM,S00
2022,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,142677.23,1,2022 Jan 01 12:00:00 AM,S00
2023,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,164839.16,1,2023 Jan 01 12:00:00 AM,S00
2024,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,173260.16,1,2024 Jan 01 12:00:00 AM,S00
2025,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ASSOC CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21218,148411.3,1,2025 Jan 01 12:00:00 AM,S00
